"endpoint","analysis","k","studies","estimate","se","df","p","ci_lb","ci_ub","pi_lb","pi_ub","tau2_study","tau2_effect"
"AP","Original study-random-intercept model","1114","205","0.22996179984755","0.0268694450177964","NA","1.14358225588623e-17","0.17729865532809","0.28262494436701","-0.510777891490542","0.970701491185641","0.142113168203721","NA"
"AP","Two-level study/effect random model","1114","205","0.246808052383311","0.0289916244511083","NA","1.69371413381404e-17","0.189985512605828","0.303630592160794","-0.717793838265239","1.21140994303186","0.131417721923619","0.109956206496744"
"AP","Two-level model with StudyID-clustered CR2 inference","1114","205","0.246808052383311","0.0289969370849179","196.583443909466","4.37755424707727e-15","0.18962305179908","0.303993052967543","-0.717793838265239","1.21140994303186","0.131417721923619","0.109956206496744"
"AP","CR2 model excluding observations with missing SD/SE","1066","193","0.242839743696236","0.0300137743511926","186.264708681226","7.42355574178469e-14","0.183629117254019","0.302050370138454","-0.732565701468338","1.21824518886081","0.135405854803885","0.111364066652007"
"AP","CR2 model with assumed within-study sampling correlation rho=0.3","1114","205","0.247129754830721","0.0294151589531042","195.472621110683","8.960113489042e-15","0.189117935017","0.305141574644441","-0.727341409898201","1.22160091955964","0.132362787305733","0.113968446531957"
"AP","CR2 model with assumed within-study sampling correlation rho=0.6","1114","205","0.247134251108213","0.029710014820367","194.133469508381","1.55070449458742e-14","0.188538406343574","0.305730095872852","-0.738746787113822","1.23301528933025","0.13184743669352","0.120288976248644"
"Phosphatase","Original study-random-intercept model","1706","197","0.262316692871242","0.0208929473428129","NA","3.71888442527653e-36","0.221367268548437","0.303266117194047","-0.287513285622621","0.812146671365105","0.0782609326120201","NA"
"Phosphatase","Two-level study/effect random model","1706","197","0.264399803019782","0.0208211715505609","NA","6.01942002793032e-37","0.223591056664753","0.305208549374811","-0.414920992466744","0.943720598506308","0.0632779391775953","0.0564191370800885"
"Phosphatase","Two-level model with StudyID-clustered CR2 inference","1706","197","0.264399803019782","0.0208226656465692","181.182249406921","7.77345201920505e-27","0.22331369181625","0.305485914223314","-0.414920992466744","0.943720598506308","0.0632779391775953","0.0564191370800885"
"Phosphatase","CR2 model excluding observations with missing SD/SE","1609","180","0.264290529006895","0.0213166660954139","173.620450765292","1.08568225196331e-25","0.222217363510505","0.306363694503284","-0.420260192322098","0.948841250335887","0.0649239734941242","0.0566090826087444"
"Phosphatase","CR2 model with assumed within-study sampling correlation rho=0.3","1706","197","0.262480075697257","0.0208850334664745","176.967922341939","2.65375604186465e-26","0.221264304571756","0.303695846822758","-0.416543063770958","0.941503215165471","0.0604647054433424","0.0591244808654815"
"Phosphatase","CR2 model with assumed within-study sampling correlation rho=0.6","1706","197","0.261055938496395","0.0209568680268184","174.978446978658","6.57413213242675e-26","0.219695167122973","0.302416709869816","-0.423154058335181","0.94526593532797","0.0585561762185349","0.0628706456969404"
"TP","Original study-random-intercept model","187","49","0.0182222875494539","0.0280432820285593","NA","0.515826881295517","-0.0367415352348218","0.0731861103337295","-0.34872757573626","0.385172150835167","0.0342659355454337","NA"
"TP","Two-level study/effect random model","187","49","0.0158596283198689","0.0307565999460037","NA","0.606099164620156","-0.0444221998612049","0.0761414565009427","-0.469177888673128","0.500897145312866","0.0312332193848197","0.0290635337221226"
"TP","Two-level model with StudyID-clustered CR2 inference","187","49","0.0158596283198689","0.0307807727033774","44.2839406768421","0.60894470055952","-0.0461637105378976","0.0778829671776354","-0.469177888673128","0.500897145312866","0.0312332193848197","0.0290635337221226"
"TP","CR2 model excluding observations with missing SD/SE","184","48","0.0159486089153183","0.0309134188414416","43.9408320134667","0.608502173623202","-0.0463556625926635","0.0782528804233001","-0.46994482850904","0.501842046339677","0.0314067962574747","0.0290980461771639"
"TP","CR2 model with assumed within-study sampling correlation rho=0.3","187","49","0.0181151017111511","0.0308503261245475","43.5135995167065","0.560108627165728","-0.0440792809566568","0.080309484378959","-0.46574932265535","0.501979526077652","0.0297510308626525","0.0302458861446608"
"TP","CR2 model with assumed within-study sampling correlation rho=0.6","187","49","0.0193257849866657","0.0309510898054722","42.9079157131706","0.535672648696443","-0.0430969104804916","0.081748480453823","-0.466749862273238","0.505401432246569","0.0285920210669312","0.0319572978670567"
